user_id,total_spent,order_count,avg_order_amount,last_order_date,days_since_last_order,加购,收藏,浏览,点击,churn
U000001,4558.21,6,759.7016666666667,2026-01-27 22:38:35.864368,37,0.0,3.0,6.0,0.0,0
U000002,5265.46,3,1755.1533333333334,2026-02-09 22:38:35.864872,24,1.0,1.0,2.0,1.0,0
U000003,3468.85,1,3468.85,2026-02-16 22:38:35.863358,17,0.0,2.0,1.0,0.0,0
U000004,18010.620000000003,3,6003.540000000001,2025-12-18 22:38:35.868487,77,0.0,0.0,4.0,5.0,0
U000005,3047.81,2,1523.905,2026-01-11 22:38:35.858737,53,1.0,2.0,3.0,1.0,0
U000006,1121.78,1,1121.78,2025-11-21 22:38:35.864872,104,1.0,1.0,3.0,3.0,1
U000007,1565.74,1,1565.74,2026-02-04 22:38:35.860334,29,2.0,0.0,6.0,1.0,0
U000008,1859.05,1,1859.05,2025-09-09 22:38:35.867478,177,1.0,1.0,2.0,3.0,1
U000009,3518.64,1,3518.64,2026-01-04 22:38:35.863358,60,3.0,0.0,5.0,1.0,0
U000010,5805.46,1,5805.46,2025-12-14 22:38:35.861839,81,1.0,1.0,0.0,0.0,0
U000011,17016.21,4,4254.0525,2026-02-24 22:38:35.865879,9,0.0,0.0,2.0,2.0,0
U000012,18339.95,4,4584.9875,2026-02-27 22:38:35.867478,6,2.0,0.0,1.0,1.0,0
U000013,6003.5,3,2001.1666666666667,2026-01-04 22:38:35.867478,60,0.0,0.0,5.0,0.0,0
U000014,2936.25,2,1468.125,2026-02-08 22:38:35.862847,25,1.0,1.0,4.0,1.0,0
U000015,653.77,2,326.885,2026-02-27 22:38:35.857691,6,0.0,0.0,2.0,2.0,0
U000016,4438.78,3,1479.5933333333332,2026-01-04 22:38:35.860334,60,1.0,2.0,2.0,1.0,0
U000017,17760.94,8,2220.1175,2026-02-16 22:38:35.866391,17,1.0,1.0,5.0,1.0,0
