user_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_SCORE,segment
U000001,38,6,4558.21,3,5,2,352,普通用户
U000002,25,3,5265.46,4,2,3,423,普通用户
U000003,18,1,3468.85,4,1,2,412,普通用户
U000004,78,3,18010.620000000003,2,2,5,225,高价值用户
U000005,54,2,3047.81,2,1,2,212,普通用户
U000006,105,1,1121.78,1,1,1,111,普通用户
U000007,30,1,1565.74,4,1,1,411,普通用户
U000008,178,1,1859.05,1,1,1,111,普通用户
U000009,61,1,3518.64,2,1,2,212,普通用户
U000010,82,1,5805.46,2,1,3,213,普通用户
U000011,10,4,17016.21,5,4,5,545,高价值用户
U000012,7,4,18339.95,5,4,5,545,高价值用户
U000013,61,3,6003.5,2,2,3,223,普通用户
U000014,26,2,2936.25,4,1,2,412,普通用户
U000015,7,2,653.77,5,1,1,511,普通用户
U000016,61,3,4438.78,2,2,2,222,普通用户
U000017,18,8,17760.94,4,5,5,455,高价值用户
U000018,103,4,22760.27,1,4,5,145,高价值用户
U000019,5,3,15587.439999999999,5,2,4,524,普通用户
U000020,5,6,18808.420000000002,5,5,5,555,高价值用户
U000021,64,2,1760.0,2,1,1,211,普通用户
U000022,86,2,2446.35,2,1,2,212,普通用户
U000023,145,1,792.75,1,1,1,111,普通用户
U000024,127,2,5794.95,1,1,3,113,普通用户
U000025,5,5,4318.9400000000005,5,4,2,542,普通用户
U000026,7,4,23084.45,5,4,5,545,高价值用户
U000027,63,5,6554.9400000000005,2,4,3,243,普通用户
U000028,116,3,9786.61,1,2,4,124,普通用户
U000029,6,4,20499.95,5,4,5,545,高价值用户
U000030,31,2,1651.98,3,1,1,311,普通用户
U000031,53,6,26876.56,2,5,5,255,高价值用户
U000032,96,2,2464.14,1,1,2,112,普通用户
U000033,51,3,8113.74,3,2,3,323,普通用户
U000034,117,1,5392.52,1,1,3,113,普通用户
U000035,30,5,18341.97,4,5,5,455,高价值用户
U000036,26,1,2118.33,4,1,1,411,普通用户
U000037,28,2,1098.83,4,1,1,411,普通用户
U000038,51,5,18778.53,3,5,5,355,高价值用户
U000039,14,3,3995.73,5,2,2,522,普通用户
U000040,11,8,28892.82,5,5,5,555,高价值用户
U000041,3,4,4893.99,5,4,3,543,普通用户
U000042,21,5,5900.39,4,5,3,453,普通用户
U000043,45,1,21563.76,3,1,5,315,高价值用户
U000044,67,3,5096.57,2,2,3,223,普通用户
U000045,43,4,35678.04,3,4,5,345,高价值用户
U000046,10,3,1929.4,5,3,1,531,普通用户
U000047,23,2,18010.33,4,1,5,415,高价值用户
U000048,33,2,557.6700000000001,3,1,1,311,普通用户
U000049,54,5,4604.75,2,5,2,252,普通用户
U000050,42,2,22054.510000000002,3,1,5,315,高价值用户
U000051,62,4,37147.88,2,4,5,245,高价值用户
U000052,32,2,2145.11,3,1,1,311,普通用户
U000053,38,7,39966.51,3,5,5,355,高价值用户
U000054,11,1,5371.98,5,1,3,513,普通用户
U000055,59,2,2354.64,2,1,2,212,普通用户
U000056,175,2,827.55,1,1,1,111,普通用户
U000057,1,1,689.23,5,1,1,511,普通用户
U000058,37,2,4971.6900000000005,3,1,3,313,普通用户
U000059,68,3,1260.35,2,3,1,231,普通用户
U000060,8,1,21613.69,5,1,5,515,高价值用户
U000061,79,3,5025.23,2,3,3,233,普通用户
U000062,63,4,8324.01,2,4,4,244,普通用户
U000063,20,1,895.41,4,1,1,411,普通用户
U000064,30,2,3219.34,4,1,2,412,普通用户
U000065,8,2,9329.43,5,1,4,514,普通用户
U000066,132,2,618.05,1,1,1,111,普通用户
U000067,12,4,7458.88,5,4,3,543,普通用户
U000068,48,3,1330.44,3,3,1,331,普通用户
U000069,130,3,28218.63,1,3,5,135,高价值用户
U000070,5,6,7947.13,5,5,3,553,普通用户
U000071,55,4,5489.2699999999995,2,4,3,243,普通用户
U000072,49,2,2970.9700000000003,3,1,2,312,普通用户
U000073,117,2,2577.42,1,1,2,112,普通用户
U000074,5,7,17691.08,5,5,5,555,高价值用户
U000075,3,2,5900.32,5,1,3,513,普通用户
U000077,14,8,15341.41,5,5,4,554,普通用户
U000078,1,4,8292.19,5,4,4,544,普通用户
U000079,82,3,3948.2,2,3,2,232,普通用户
U000080,6,8,37504.96,5,5,5,555,高价值用户
U000081,55,4,3303.24,2,4,2,242,普通用户
U000082,93,2,2187.81,1,1,1,111,普通用户
U000083,33,2,4007.08,3,1,2,312,普通用户
U000084,147,1,14788.13,1,1,4,114,普通用户
U000085,42,3,5819.9800000000005,3,3,3,333,普通用户
U000086,30,3,2971.58,4,3,2,432,普通用户
U000087,25,3,1210.14,4,3,1,431,普通用户
U000088,25,4,20459.54,4,4,5,445,高价值用户
U000089,110,3,21630.540000000005,1,3,5,135,高价值用户
U000090,31,1,3446.56,3,1,2,312,普通用户
U000091,57,4,19040.7,2,4,5,245,高价值用户
U000092,56,5,25291.65,2,5,5,255,高价值用户
U000094,162,1,3495.32,1,1,2,112,普通用户
U000096,53,2,1352.1599999999999,2,1,1,211,普通用户
U000097,28,4,14264.0,4,4,4,444,普通用户
U000098,33,5,24167.66,3,5,5,355,高价值用户
U000099,26,6,11814.869999999999,4,5,4,454,普通用户
U000100,9,4,7663.9400000000005,5,4,3,543,普通用户
U000101,39,5,19710.55,3,5,5,355,高价值用户
U000102,1,4,30611.91,5,4,5,545,高价值用户
U000103,75,2,20535.62,2,1,5,215,高价值用户
U000104,115,1,625.95,1,1,1,111,普通用户
U000105,41,4,30976.05,3,4,5,345,高价值用户
U000106,7,4,10729.74,5,4,4,544,普通用户
U000107,36,4,6991.280000000001,3,4,3,343,普通用户
U000108,46,1,446.1,3,1,1,311,普通用户
